,Exam Group,Exam Block
0,1-8545,14
1,1-7943,7
2,1-8611,15
3,1-18956,9
4,1-19133,18
5,1-8121,11
6,MLG58,1
7,1-11209,20
8,MLG59,14
9,1-8765,12
10,1-7390,12
11,1-8750,5
12,1-9133,6
13,1-7622,23
14,MLG78,6
15,1-5537,15
16,1-7539,20
17,1-9217,21
18,1-5635,18
19,1-9515,19
20,1-3141,3
21,1-6816,4
22,1-20100,14
23,1-11189,16
24,1-2742,20
25,MLG68,5
26,1-0918,11
27,1-0984,12
28,1-7081,8
29,1-8090,4
30,1-20045,1
31,1-8735,2
32,1-7870,2
33,1-0997,13
34,1-7589,22
35,1-8300,12
36,1-5686,17
37,1-8039,1
38,1-10018,22
39,1-8567,10
40,1-6214,8
41,MLG24,21
42,1-7753,2
43,1-7518,15
44,1-5873,11
45,1-1070,8
46,1-3056,14
47,MLG15,23
48,1-6101,2
49,7W2-19692,22
50,MLG14,9
51,1-8981,5
52,1-6015,2
53,1-9340,2
54,1-6957,6
55,1-8135,23
56,1-8924,4
57,1-6654,5
58,1-7723,1
59,1-2272,15
60,1-0916,18
61,1-7306,2
62,1-9114,11
63,1-5642,6
64,1-8729,4
65,1-6721,2
66,1-7348,19
67,1-19989,3
68,1-6533,3
69,1-7418,20
70,1-9644,14
71,MLG26,3
72,1-9643,17
73,1-9318,11
74,1-6953,4
75,1-7547,3
76,1-5687,10
77,1-7567,9
78,1-6677,21
79,1-6661,1
80,1-21411,1
81,1-1099,17
82,1-6029,19
83,1-1152,9
84,1-3491,17
85,1-8986,19
86,1-10042,1
87,1-0708,8
88,1-6637,5
89,1-9586,9
90,MLG83,16
91,1-9458,6
92,1-7621,12
93,1-0677,8
94,1-8928,15
95,1-7625,21
96,1-10725,4
97,1-0455,5
98,1-9543,4
99,1-7655,7
100,1-7707,6
101,1-8228,17
102,1-6737,23
103,1-17927,9
104,1-9040,16
105,1-8834,11
106,1-8973,18
107,1-2192,2
108,1-0917,1
109,1-3309,9
110,1-9225,3
111,1-7900,12
112,1-7564,2
113,1-7647,5
114,1-7449,2
115,1-3254,12
116,1-7737,9
117,1-2523,2
118,1-7429,2
119,1-7476,7
120,MLG69,3
121,1-8853,15
122,1-20046,1
123,1-3472,22
124,1-19987,5
125,1-7581,8
126,1-3489,2
127,1-18952,1
128,MLG33,3
129,1-7579,12
130,MLG32,3
131,MLG13,2
132,1-0454,7
133,1-7460,2
134,1-6496,10
135,1-7499,23
136,1-7425,11
137,1-19257,17
138,1-2829,4
139,1-2699,3
140,1-9341,7
141,MLG42,7
142,MLG17,23
143,1-7302,22
144,1-8914,21
145,1-18635,3
146,1-9260,8
147,1-7172,22
148,1-2028,2
149,1-9621,6
150,P1-0004,7
151,1-11026,19
152,1-1530,9
153,MLG43,17
154,1-2485,3
155,1-7462,14
156,1-2322,4
157,1-2318,2
158,MLG12,12
159,MLG36,3
160,1-0363,8
161,1-7656,3
162,1-8242,1
163,1-1633,11
164,MLG29,3
165,1-5185,3
166,1-9454,21
167,1-9287,9
168,1-7636,6
169,1-1466,18
170,MLG40,1
171,1-3300,1
172,1-7326,21
173,1-7456,22
174,1-6568,7
175,1-8177,8
176,1-7356,5
177,1-10952,23
178,1-0754,2
179,1-8186,2
180,1-7886,9
181,1-9123,2
182,1-4136,12
183,1-18927,17
184,1-5314,3
185,1-3301,15
186,1-8162,2
187,1-3477,2
188,1-5221,1
189,1-7834,8
190,1-6199,3
191,1-9285,17
192,1-4874,13
193,1-3081,18
194,1-19109,9
195,1-3079,13
196,1-8537,6
197,1-20780,2
198,1-9203,4
199,1-0529,12
200,7W2-12806,2
201,1-3075,4
202,1-19108,1
203,1-19884,22
204,1-3509,18
205,1-7776,5
206,1-20065,14
207,1-4766,18
208,1-20077,6
209,MLG76,3
210,1-3182,12
211,1-7187,6
212,1-9522,22
213,1-8859,13
214,1-19859,20
215,1-7430,4
216,1-18953,4
217,1-7575,3
218,MLG11,20
219,1-8371,5
220,1-19627,12
221,1-20138,16
222,1-17959,10
223,1-5109,22
224,MLG05,2
225,1-17970,20
226,1-1047,15
227,1-9542,19
228,1-18816,12
229,1-6569,6
230,1-8766,12
231,1-4413,13
232,1-3186,11
233,1-8864,1
234,1-9935,1
235,1-3077,22
236,1-9245,18
237,1-7484,13
238,1-7444,7
239,1-1136,15
240,1-6168,6
241,1-2429,3
242,1-1367,4
243,1-7712,9
244,1-3099,14
245,1-10305,1
246,1-9232,14
247,1-8753,23
248,1-19068,15
249,1-9259,4
250,1-7178,7
251,MLG27,20
252,1-1887,16
253,1-7781,16
254,1-9230,4
255,1-17969,14
256,1-3037,17
257,MLG06,6
258,1-4654,11
259,1-5146,1
260,1-0305,4
261,1-8747,3
262,1-4394,5
263,1-7486,19
264,1-1131,5
265,1-7464,4
266,1-6554,1
267,1-7715,20
268,1-7899,9
269,1-5271,1
270,1-5655,4
271,1-19121,10
272,1-5531,8
273,1-9157,6
274,1-8497,3
275,1-1712,10
276,1-9548,2
277,P1-6891,2
278,1-3152,10
279,MLG03,18
280,MLG09,23
281,1-8126,21
282,1-7711,13
283,1-1636,16
284,1-5159,18
285,1-6727,10
286,1-7725,13
287,1-9267,17
288,1-20283,3
289,1-9958,8
290,1-0447,1
291,1-17979,3
