,Unnamed: 0,Exam Group,Exam Block
0,0,1-3186,1
1,1,MLG02,15
2,2,MLG03,16
3,3,MLG06,20
4,4,1-1530,14
5,5,1-8611,4
6,6,MLG12,2
7,7,1-3026,9
8,8,1-19755,2
9,9,MLG15,5
10,10,MLG63,10
11,11,MLG08,3
12,12,1-3523,17
13,13,MLG11,3
14,14,1-3037,9
15,15,MLG14,13
16,16,1-0691,12
17,17,1-2272,4
18,18,1-5635,7
19,19,1-8165,19
20,20,1-0708,20
21,21,1-1633,1
22,22,1-6568,14
23,23,1-8567,8
24,24,MLG62,13
25,25,1-3047,12
26,26,1-8718,11
27,27,1-6569,18
28,28,1-7425,1
29,29,1-6957,18
30,30,1-1687,4
31,31,1-7462,11
32,32,1-8019,18
33,33,1-18507,6
34,34,1-3152,8
35,35,1-7901,19
36,36,1-5899,8
37,37,1-7946,14
38,38,MLG67,7
39,39,1-4766,7
40,40,MLG70,7
41,41,1-9365,7
42,42,1-7172,15
43,43,1-8681,6
44,44,1-19257,16
45,45,1-1070,12
46,46,1-3056,11
47,47,1-2292,18
48,48,1-8371,10
49,49,1-1035,6
50,50,1-7302,15
51,51,1-4011,5
52,52,MLG66,10
53,53,MLG13,3
54,54,1-6727,8
55,55,MLG61,10
56,56,MLG53,17
57,57,1-8484,18
58,58,1-0983,5
59,59,1-7460,4
60,60,1-5531,12
61,61,1-6678,20
62,62,1-3496,14
63,63,1-0916,7
64,64,1-1131,3
65,65,1-0677,12
66,66,1-8564,8
67,67,1-4394,18
68,68,1-5228,22
69,69,MLG45,23
70,70,MLG74,24
71,71,1-0918,1
72,72,MLG73,4
73,73,MLG57,10
74,74,1-7518,24
75,75,MLG50,7
76,76,MLG09,24
77,77,1-7038,23
78,78,1-7306,21
79,79,MLG33,23
80,80,1-9340,4
81,81,1-5642,18
82,82,1-3509,19
83,83,1-7402,12
84,84,1-2275,14
85,85,MLG26,23
86,86,1-1712,5
87,87,MLG65,22
88,88,1-6684,3
89,89,MLG71,15
90,90,1-1099,8
91,91,1-2742,24
92,92,1-6511,24
93,93,1-3693,21
94,94,1-9100,20
95,95,MLG68,16
96,96,MLG36,24
97,97,1-4654,1
98,98,MLG76,2
99,99,1-0917,19
100,100,1-0541,24
101,101,1-1655,1
102,102,MLG64,6
103,103,1-1005,5
104,104,1-7872,7
105,105,1-3364,8
106,106,1-0529,15
107,107,1-8121,1
108,108,1-1887,23
109,109,1-1136,22
110,110,1-1152,11
111,111,1-1166,2
112,112,1-9114,1
113,113,1-8753,18
114,114,1-3174,1
115,115,1-0598,18
116,116,1-6166,3
117,117,1-8480,21
118,118,1-7971,10
119,119,1-2485,1
120,120,MLG48,21
121,121,1-8949,3
122,122,1-3051,22
123,123,MLG52,16
124,124,MLG59,24
125,125,MLG55,19
126,126,1-18045,12
127,127,MLG56,13
128,128,1-8754,22
129,129,1-3246,21
130,130,1-6501,8
131,131,MLG47,15
132,132,1-9260,20
