,Unnamed: 0,Exam Group,Exam Block
0,0,1-3186,1
1,1,MLG02,16
2,2,MLG03,15
3,3,MLG06,13
4,4,1-1530,17
5,5,1-8611,6
6,6,MLG12,3
7,7,1-3026,2
8,8,1-19755,12
9,9,MLG15,9
10,10,MLG63,20
11,11,MLG08,8
12,12,1-3523,21
13,13,MLG11,8
14,14,1-3037,19
15,15,MLG14,7
16,16,1-0691,22
17,17,1-2272,8
18,18,1-5635,15
19,19,1-8165,11
20,20,1-0708,13
21,21,1-1633,1
22,22,1-6568,17
23,23,1-8567,18
24,24,MLG62,7
25,25,1-3047,22
26,26,1-8718,2
27,27,1-6569,5
28,28,1-7425,1
29,29,1-6957,5
30,30,1-1687,6
31,31,1-7462,2
32,32,1-8019,5
33,33,1-18507,10
34,34,1-3152,18
35,35,1-7901,4
36,36,1-5899,14
37,37,1-7946,17
38,38,MLG67,10
39,39,1-4766,15
40,40,MLG70,14
41,41,1-9365,16
42,42,1-7172,12
43,43,1-8681,10
44,44,1-19257,12
45,45,1-1070,22
46,46,1-3056,2
47,47,1-2292,4
48,48,1-8371,20
49,49,1-1035,22
50,50,1-7302,12
51,51,1-4011,14
52,52,MLG66,12
53,53,MLG13,8
54,54,1-6727,18
55,55,MLG61,20
56,56,MLG53,21
57,57,1-8484,5
58,58,1-0983,9
59,59,1-7460,8
60,60,1-5531,22
61,61,1-6678,13
62,62,1-3496,17
63,63,1-0916,15
64,64,1-1131,14
65,65,1-0677,22
66,66,1-8564,18
67,67,1-4394,5
68,68,1-5228,6
69,69,MLG45,24
70,70,MLG74,14
71,71,1-0918,19
72,72,MLG73,9
73,73,MLG57,24
74,74,1-7518,5
75,75,MLG50,9
76,76,MLG09,4
77,77,1-7038,15
78,78,1-7306,24
79,79,MLG33,24
80,80,1-9340,8
81,81,1-5642,5
82,82,1-3509,15
83,83,1-7402,22
84,84,1-2275,17
85,85,MLG26,23
86,86,1-1712,7
87,87,MLG65,19
88,88,1-6684,11
89,89,MLG71,1
90,90,1-1099,1
91,91,1-2742,10
92,92,1-6511,23
93,93,1-3693,22
94,94,1-9100,22
95,95,MLG68,1
96,96,MLG36,24
97,97,1-4654,1
98,98,MLG76,14
99,99,1-0917,23
100,100,1-0541,23
101,101,1-1655,1
102,102,MLG64,20
103,103,1-1005,9
104,104,1-7872,10
105,105,1-3364,21
106,106,1-0529,17
107,107,1-8121,1
108,108,1-1887,11
109,109,1-1136,8
110,110,1-1152,20
111,111,1-1166,12
112,112,1-9114,1
113,113,1-8753,3
114,114,1-3174,1
115,115,1-0598,21
116,116,1-6166,6
117,117,1-8480,23
118,118,1-7971,19
119,119,1-2485,24
120,120,MLG48,12
121,121,1-8949,8
122,122,1-3051,6
123,123,MLG52,15
124,124,MLG59,9
125,125,MLG55,4
126,126,1-18045,22
