,Unnamed: 0,Exam Group,Exam Block
0,0,1-0295,16
1,1,1-0305,1
2,2,1-0337,5
3,3,1-0363,15
4,4,1-0429,7
5,5,1-0447,7
6,6,1-0454,16
7,7,1-0455,8
8,8,1-0487,22
9,9,1-0529,17
10,10,1-0541,3
11,11,1-0582,17
12,12,1-0584,15
13,13,1-0598,21
14,14,1-0677,15
15,15,1-0691,15
16,16,1-0708,15
17,17,1-0754,11
18,18,1-0916,21
19,19,1-0917,8
20,20,1-0918,6
21,21,1-0983,6
22,22,1-0984,19
23,23,1-0997,18
24,24,1-1070,15
25,25,1-1099,8
26,26,1-1131,4
27,27,1-1367,6
28,28,1-1466,12
29,29,1-1514,16
30,30,1-1530,13
31,31,1-1633,6
32,32,1-1636,18
33,33,MLG67,11
34,34,1-1964,6
35,35,1-2272,7
36,36,1-2292,6
37,37,1-2364,21
38,38,1-2432,5
39,39,MLG70,21
40,40,1-2485,9
41,41,1-2523,16
42,42,1-2742,7
43,43,1-3174,17
44,44,1-3246,12
45,45,1-3699,10
46,46,1-3739,16
47,47,1-4011,3
48,48,1-4136,16
49,49,1-4380,16
50,50,1-4654,9
51,51,1-4766,10
52,52,1-4874,12
53,53,1-5109,19
54,54,1-5159,9
55,55,1-5185,22
56,56,1-5271,1
57,57,MLG77,18
58,58,1-5287,1
59,59,1-5531,15
60,60,1-5537,14
61,61,1-5568,3
62,62,1-5635,10
63,63,1-5642,20
64,64,MLG59,5
65,65,MLG68,11
66,66,1-5686,16
67,67,1-5687,22
68,68,1-5696,15
69,69,1-5899,3
70,70,1-6101,2
71,71,1-6166,7
72,72,1-6168,5
73,73,1-6199,1
74,74,1-6214,15
75,75,1-6249,16
76,76,1-7081,2
77,77,1-7083,14
78,78,1-7146,12
79,79,1-7172,16
80,80,1-7306,5
81,81,1-7332,3
82,82,1-7348,21
83,83,1-7390,1
84,84,1-7402,15
85,85,1-7403,4
86,86,1-7418,4
87,87,1-7425,9
88,88,1-7429,2
89,89,1-7430,18
90,90,1-7444,19
91,91,1-7449,13
92,92,1-7453,2
93,93,1-7456,22
94,94,1-7460,7
95,95,1-7462,19
96,96,1-7464,14
97,97,1-7467,13
98,98,1-7472,11
99,99,1-7476,7
100,100,1-7484,1
101,101,1-7486,8
102,102,1-7488,9
103,103,1-7499,21
104,104,1-7518,7
105,105,1-7539,13
106,106,1-7547,8
107,107,1-7564,13
108,108,1-7567,11
109,109,1-7575,17
110,110,1-7579,4
111,111,1-7581,12
112,112,1-7589,21
113,113,1-7621,6
114,114,1-7622,20
115,115,1-7625,1
116,116,1-7636,16
117,117,1-7647,10
118,118,1-7655,4
119,119,1-7656,13
120,120,1-7707,5
121,121,1-7711,2
122,122,1-7712,16
123,123,1-7715,5
124,124,1-7720,15
125,125,1-7721,21
126,126,1-7723,6
127,127,1-7725,9
128,128,1-7737,4
129,129,1-7753,8
130,130,1-7770,11
131,131,1-7776,20
132,132,1-7781,4
133,133,1-7809,10
134,134,1-7834,18
135,135,1-7870,17
136,136,1-7899,17
137,137,1-7900,22
138,138,1-7901,8
139,139,1-7936,11
140,140,1-7946,12
141,141,1-7987,7
142,142,1-7993,3
143,143,1-8019,12
144,144,1-8087,20
145,145,1-8090,6
146,146,1-8121,9
147,147,1-8126,4
148,148,1-8135,14
149,149,1-8162,3
150,150,1-8165,8
151,151,1-8177,15
152,152,1-8186,14
153,153,1-8187,1
154,154,1-8228,10
155,155,1-8242,20
156,156,1-8284,3
157,157,1-8291,9
158,158,1-8368,9
159,159,1-8497,3
160,160,1-8564,3
161,161,1-8567,3
162,162,1-8691,19
163,163,1-8702,5
164,164,1-8711,11
165,165,1-8718,5
166,166,1-8747,15
167,167,1-8750,8
168,168,1-8753,14
169,169,1-8766,5
170,170,1-8808,18
171,171,MLG76,19
172,172,1-8834,19
173,173,1-8853,9
174,174,MLG78,18
175,175,1-8859,6
176,176,1-8864,10
177,177,1-8914,2
178,178,1-8916,18
179,179,1-8924,17
180,180,1-8928,20
181,181,MLG58,10
182,182,1-8949,1
183,183,1-8973,11
184,184,1-8981,11
185,185,1-9040,8
186,186,1-9071,5
187,187,1-9095,18
188,188,1-9100,15
189,189,1-9114,2
190,190,1-9115,6
191,191,1-9121,9
192,192,1-9123,15
193,193,1-9133,16
194,194,1-9135,20
195,195,1-9157,3
196,196,1-9182,1
197,197,1-9197,3
198,198,1-9203,11
199,199,1-9217,3
200,200,1-9225,1
201,201,1-9230,12
202,202,1-9232,10
203,203,1-9245,8
204,204,1-9259,5
205,205,1-9260,19
206,206,1-9267,8
207,207,1-9276,21
208,208,1-9285,10
209,209,1-9287,20
210,210,1-9291,8
211,211,1-9294,8
212,212,1-9316,2
213,213,1-9318,14
214,214,1-9340,7
215,215,1-9341,2
216,216,MLG66,16
217,217,1-9396,11
218,218,1-9399,1
219,219,1-9411,9
220,220,1-9454,2
221,221,1-9458,13
222,222,1-9466,2
223,223,1-9473,13
