,Exam Group,Exam Block
0,1-8545,4
1,1-7943,1
2,1-8611,16
3,1-18956,22
4,1-19133,5
5,1-8121,10
6,MLG58,21
7,1-11209,8
8,MLG59,13
9,1-8765,2
10,1-7390,12
11,1-8750,9
12,1-9133,1
13,1-7622,21
14,MLG78,5
15,1-5537,11
16,1-7539,14
17,1-9217,19
18,1-5635,15
19,1-9515,17
20,1-3141,2
21,1-6816,3
22,1-20100,3
23,1-11189,20
24,1-2742,8
25,MLG68,5
26,1-0918,6
27,1-0984,9
28,1-7081,5
29,1-8090,7
30,1-20045,1
31,1-8735,8
32,1-7870,17
33,1-0997,6
34,1-7589,19
35,1-8300,10
36,1-5686,7
37,1-8039,16
38,1-10018,3
39,1-8567,18
40,1-6214,9
41,MLG24,3
42,1-7753,10
43,1-7518,7
44,1-5873,9
45,1-1070,9
46,1-3056,11
47,MLG15,18
48,1-6101,17
49,7W2-19692,1
50,MLG14,7
51,1-8981,9
52,1-6015,11
53,1-9340,17
54,1-6957,10
55,1-8135,18
56,1-8924,11
57,1-6654,7
58,1-7723,12
59,1-2272,17
60,1-0916,20
61,1-7306,13
62,1-9114,10
63,1-5642,10
64,1-8729,1
65,1-6721,6
66,1-7348,5
67,1-19989,2
68,1-6533,4
69,1-7418,21
70,1-9644,12
71,MLG26,16
72,1-9643,2
73,1-9318,4
74,1-6953,7
75,1-7547,2
76,1-5687,1
77,1-7567,13
78,1-6677,4
79,1-6661,1
80,1-21411,1
81,1-1099,22
82,1-6029,12
83,1-1152,11
84,1-3491,12
85,1-8986,19
86,1-10042,3
87,1-0708,19
88,1-6637,20
89,1-9586,18
90,MLG83,13
91,1-9458,14
92,1-7621,6
93,1-0677,4
94,1-8928,2
95,1-7625,21
96,1-10725,10
97,1-0455,13
98,1-9543,8
99,1-7655,14
100,1-7707,9
101,1-8228,15
102,1-6737,14
103,1-17927,18
104,1-9040,10
105,1-8834,3
106,1-8973,19
107,1-2192,7
108,1-0917,22
109,1-3309,2
110,1-9225,1
111,1-7900,11
112,1-7564,11
113,1-7647,13
114,1-7449,2
115,1-3254,22
116,1-7737,6
117,1-2523,1
118,1-7429,2
119,1-7476,19
120,MLG69,2
121,1-8853,16
122,1-20046,5
123,1-3472,2
124,1-19987,17
125,1-7581,12
126,1-3489,13
127,1-18952,11
128,MLG33,11
129,1-7579,15
130,MLG32,9
131,MLG13,17
132,1-0454,21
133,1-7460,17
134,1-6496,1
135,1-7499,1
136,1-7425,5
137,1-19257,12
138,1-2829,4
139,1-2699,18
140,1-9341,1
141,MLG42,13
142,MLG17,14
143,1-7302,21
144,1-8914,7
145,1-18635,5
146,1-9260,19
147,1-7172,5
148,1-2028,19
149,1-9621,10
150,P1-0004,20
151,1-11026,10
152,1-1530,9
153,MLG43,16
154,1-2485,20
155,1-7462,3
156,1-2322,4
157,1-2318,20
158,MLG12,22
159,MLG36,7
160,1-0363,5
161,1-7656,13
162,1-8242,11
163,1-1633,15
164,MLG29,7
165,1-5185,2
166,1-9454,4
167,1-9287,1
168,1-7636,22
169,1-1466,6
170,MLG40,4
171,1-3300,1
172,1-7326,4
173,1-7456,8
174,1-6568,21
175,1-8177,21
176,1-7356,10
177,1-10952,16
178,1-0754,14
179,1-8186,1
180,1-7886,1
181,1-9123,16
182,1-4136,3
183,1-18927,17
184,1-5314,2
185,1-3301,20
186,1-8162,2
187,1-3477,14
188,1-5221,13
189,1-7834,5
190,1-6199,3
191,1-9285,18
192,1-4874,22
193,1-3081,1
194,1-19109,2
195,1-3079,10
196,1-8537,15
197,1-20780,19
198,1-9203,13
199,1-0529,16
200,7W2-12806,18
201,1-3075,12
202,1-19108,3
203,1-19884,7
204,1-3509,17
205,1-7776,19
206,1-20065,10
207,1-4766,12
208,1-20077,7
209,MLG76,3
210,1-3182,19
211,1-7187,22
212,1-9522,14
213,1-8859,1
214,1-19859,4
215,1-7430,10
216,1-18953,1
217,1-7575,18
218,MLG11,10
219,1-8371,6
220,1-19627,11
221,1-20138,18
222,1-17959,22
223,1-5109,22
224,MLG05,19
225,1-17970,8
226,1-1047,2
227,1-9542,18
228,1-18816,11
229,1-6569,9
230,1-8766,1
231,1-4413,5
232,1-3186,6
233,1-8864,1
234,1-9935,8
235,1-3077,2
236,1-9245,20
237,1-7484,10
238,1-7444,5
239,1-1136,4
240,1-6168,7
241,1-2429,8
242,1-1367,12
243,1-7712,3
244,1-3099,1
245,1-10305,22
246,1-9232,9
247,1-8753,7
248,1-19068,16
249,1-9259,3
250,1-7178,9
251,MLG27,13
252,1-1887,16
253,1-7781,11
254,1-9230,18
255,1-17969,2
256,1-3037,20
257,MLG06,19
258,1-4654,6
259,1-5146,9
260,1-0305,18
261,1-8747,16
262,1-4394,10
263,1-7486,6
264,1-1131,9
265,1-7464,2
266,1-6554,3
267,1-7715,16
268,1-7899,20
269,1-5271,16
270,1-5655,20
271,1-19121,2
272,1-5531,13
273,1-9157,22
274,1-8497,15
