,Unnamed: 0,Exam Group,Exam Block
0,0,1-3186,1
1,1,MLG02,5
2,2,MLG03,6
3,3,MLG06,18
4,4,1-1530,13
5,5,1-8611,11
6,6,MLG12,9
7,7,1-3026,8
8,8,1-19755,9
9,9,MLG15,12
10,10,MLG63,4
11,11,MLG08,12
12,12,1-3523,5
13,13,MLG11,11
14,14,1-3037,8
15,15,MLG14,13
16,16,1-0691,2
17,17,1-2272,11
18,18,1-5635,6
19,19,1-8165,16
20,20,1-0708,2
21,21,1-1633,7
22,22,1-6568,15
23,23,1-8567,10
24,24,MLG62,18
25,25,1-3047,2
26,26,1-8718,3
27,27,1-6569,18
28,28,1-7425,1
29,29,1-6957,17
30,30,1-1687,17
31,31,1-7462,3
32,32,1-8019,14
33,33,1-18507,5
34,34,1-3152,10
35,35,1-7901,16
36,36,1-5899,10
37,37,1-7946,15
38,38,MLG67,24
39,39,1-4766,5
40,40,MLG70,23
41,41,1-9365,5
42,42,1-7172,20
43,43,1-8681,21
44,44,1-19257,20
45,45,1-1070,2
46,46,1-3056,23
47,47,1-2292,16
48,48,1-8371,6
49,49,1-1035,2
50,50,1-7302,20
51,51,1-4011,4
52,52,MLG66,21
53,53,MLG13,12
54,54,1-6727,22
55,55,MLG61,4
56,56,MLG53,19
57,57,1-8484,14
58,58,1-0983,24
59,59,1-7460,11
60,60,1-5531,2
61,61,1-6678,21
62,62,1-3496,15
63,63,1-0916,6
64,64,1-1131,4
65,65,1-0677,2
66,66,1-8564,10
67,67,1-4394,14
68,68,1-5228,17
69,69,MLG45,24
70,70,MLG74,3
71,71,1-0918,24
72,72,MLG73,20
73,73,MLG57,24
74,74,1-7518,14
75,75,MLG50,6
76,76,MLG09,3
77,77,1-7038,6
78,78,1-7306,23
79,79,MLG33,23
80,80,1-9340,11
81,81,1-5642,17
82,82,1-3509,5
83,83,1-7402,2
84,84,1-2275,13
85,85,MLG26,24
86,86,1-1712,10
87,87,MLG65,8
88,88,1-6684,13
89,89,MLG71,20
90,90,1-1099,1
91,91,1-2742,21
92,92,1-6511,19
93,93,1-3693,2
94,94,1-9100,2
95,95,MLG68,2
96,96,MLG36,22
97,97,1-4654,1
98,98,MLG76,9
99,99,1-0917,16
100,100,1-0541,22
101,101,1-1655,20
102,102,MLG64,4
103,103,1-1005,13
104,104,1-7872,21
105,105,1-3364,10
106,106,1-0529,7
107,107,1-8121,1
108,108,1-1887,21
109,109,1-1136,11
110,110,1-1152,19
111,111,1-1166,20
112,112,1-9114,8
113,113,1-8753,14
114,114,1-3174,1
115,115,1-0598,7
116,116,1-6166,21
117,117,1-8480,2
118,118,1-7971,12
119,119,1-2485,11
120,120,MLG48,21
121,121,1-8949,11
122,122,1-3051,11
123,123,MLG52,16
124,124,MLG59,21
125,125,MLG55,22
126,126,1-18045,2
127,127,MLG56,19
128,128,1-8754,11
129,129,1-3246,15
130,130,1-6501,9
131,131,MLG47,17
132,132,1-9260,2
133,133,1-4397,2
134,134,1-7057,2
135,135,1-7720,2
136,136,MLG51,10
137,137,1-8916,24
138,138,1-7993,10
139,139,1-9341,15
140,140,1-19891,14
141,141,1-12345,1
142,142,1-7187,24
143,143,1-3135,5
144,144,1-7081,2
145,145,MLG78,22
146,146,1-7539,15
147,147,1-7589,8
148,148,1-6677,18
149,149,1-7547,23
150,150,1-8228,11
151,151,MLG29,22
152,152,1-7725,16
153,153,1-3717,18
154,154,MLG83,22
155,155,1-5687,8
156,156,1-9157,10
157,157,1-8666,17
158,158,1-7107,3
159,159,1-2364,23
160,160,1-7636,17
161,161,1-8368,1
162,162,1-10960,7
163,163,1-1119,9
164,164,1-6591,7
165,165,1-9454,14
166,166,1-5696,2
167,167,1-6637,20
168,168,1-7523,15
169,169,1-7900,14
170,170,1-9276,4
171,171,1-6654,24
172,172,MLG18,8
173,173,MLG17,12
174,174,1-7733,23
175,175,MLG32,22
176,176,1-0582,1
177,177,1-19121,10
178,178,1-19068,4
179,179,1-9294,5
180,180,MLG77,12
181,181,1-1466,23
182,182,1-8678,17
183,183,MLG42,23
184,184,1-9071,10
185,185,1-9291,7
186,186,1-1176,20
187,187,1-6506,24
188,188,MLG69,12
189,189,1-0429,17
190,190,1-7625,21
191,191,MLG58,3
192,192,MLG82,22
193,193,1-6625,24
194,194,1-8628,7
195,195,1-7522,7
196,196,1-7943,1
197,197,1-6953,20
198,198,MLG30,22
199,199,1-3405,4
200,200,1-8630,6
201,201,1-4380,20
202,202,1-1367,24
203,203,1-9644,3
204,204,1-6214,2
205,205,MLG27,23
206,206,1-1514,19
207,207,1-4874,24
208,208,1-8629,3
209,209,1-6249,7
210,210,1-7488,24
211,211,1-3254,9
212,212,1-0447,2
213,213,1-9351,20
214,214,1-8087,15
215,215,1-7936,1
216,216,1-2829,21
217,217,1-19133,1
218,218,1-8986,6
219,219,1-5159,1
220,220,1-18620,14
221,221,1-10043,10
222,222,1-7403,4
223,223,1-11205,2
224,224,7W1-20421,1
225,225,1-17959,17
226,226,1-0455,18
227,227,MLG20,4
228,228,1-18412,4
229,229,1-8055,3
230,230,1-5686,18
231,231,1-9515,13
232,232,1-8058,14
233,233,1-8061,14
234,234,1-8053,24
235,235,1-10800,10
236,236,1-8702,3
237,237,1-8044,17
238,238,1-18469,6
239,239,1-8287,16
240,240,1-7332,24
241,241,1-8729,24
242,242,1-8618,16
243,243,1-11438,15
244,244,1-8177,2
245,245,1-8300,14
246,246,1-18266,3
247,247,1-5185,21
248,248,1-9542,3
249,249,1-8284,18
250,250,P1-0004,14
251,251,1-20045,9
252,252,1-10808,20
253,253,1-2432,15
254,254,1-8735,18
255,255,1-19884,16
256,256,1-7464,12
257,257,1-9040,16
258,258,MLG24,24
259,259,1-6494,16
260,260,1-8808,20
261,261,1-11189,21
262,262,1-4874,2
263,263,1-2083,9
264,264,7W1-8534,19
265,265,1-18635,4
266,266,1-8973,3
267,267,1-8057,22
268,268,1-5287,24
269,269,1-18956,8
270,270,1-6492,19
271,271,1-20068,16
272,272,1-3302,22
273,273,1-1025,2
274,274,1-1964,1
275,275,1-8951,23
276,276,1-8135,11
277,277,1-8537,3
278,278,1-7348,6
279,279,1-8750,7
280,280,1-5568,10
281,281,1-3075,24
282,282,MLG37,23
283,283,1-18816,3
284,284,1-8545,24
285,285,1-7656,7
286,286,1-7723,13
287,287,1-3477,10
288,288,7W1-12374,15
289,289,1-11045,24
290,290,1-7809,17
291,291,1-7326,8
292,292,1-7418,4
293,293,1-8711,14
294,294,1-8834,4
295,295,1-0984,15
296,296,1-3489,24
297,297,1-7622,12
298,298,1-3081,1
299,299,1-3469,17
300,300,MLG01,19
301,301,MLG35,9
302,302,MLG31,22
303,303,1-3077,3
304,304,1-7581,18
305,305,1-1047,1
306,306,1-6101,18
307,307,1-7579,1
308,308,1-19093,10
309,309,1-10018,15
310,310,1-0454,3
311,311,1-2006,22
312,312,MLG43,8
313,313,1-0754,21
314,314,1-8765,24
315,315,1-7390,22
316,316,1-0584,2
317,317,1-7899,13
318,318,1-6764,15
319,319,1-7655,8
320,320,1-11209,1
321,321,1-9543,20
322,322,1-9063,20
323,323,1-8924,15
324,324,1-8859,9
325,325,1-8497,10
326,326,1-2699,1
327,327,1-8613,18
328,328,1-5109,18
329,329,1-8990,15
330,330,1-6737,15
331,331,1-6835,3
332,332,1-17970,17
333,333,1-3216,20
334,334,1-18987,3
335,335,1-6543,1
336,336,1-3162,20
337,337,1-11132,8
338,338,1-18973,2
339,339,1-8853,24
340,340,1-3491,21
341,341,7W2-19692,14
342,342,1-3079,6
343,343,7W1-0102,8
344,344,1-18435,20
345,345,1-7870,14
346,346,1-1763,12
347,347,1-4776,13
348,348,1-3257,11
349,349,1-9499,5
350,350,1-8864,15
351,351,1-10981,19
352,352,1-7456,15
353,353,1-0363,8
354,354,1-18794,5
355,355,1-6661,17
356,356,1-8126,3
357,357,1-7883,1
358,358,1-5515,19
359,359,1-9217,1
360,360,1-7429,18
361,361,1-7781,14
362,362,1-6721,9
363,363,1-0997,17
364,364,1-20100,17
365,365,MLG22,22
366,366,1-9285,5
367,367,1-10294,24
368,368,1-5537,7
369,369,1-6168,21
370,370,1-9253,24
371,371,1-6199,12
372,372,7W2-0103,24
373,373,1-19109,6
374,374,1-7647,6
375,375,1-7486,10
376,376,1-3356,1
377,377,1-9399,23
378,378,1-8023,9
379,379,1-7484,19
380,380,MLG40,15
381,381,1-8187,7
382,382,1-6029,10
383,383,1-20077,14
384,384,1-8928,5
385,385,1-3472,20
386,386,1-6554,1
387,387,1-7499,14
388,388,1-9601,1
389,389,1-18869,14
390,390,1-8766,15
391,391,1-7575,18
392,392,1-5655,5
393,393,1-9182,7
394,394,1-9436,3
395,395,1-3300,18
396,396,1-20138,17
397,397,1-7449,9
398,398,1-7776,4
399,399,1-10042,14
400,400,1-7567,12
401,401,MLG38,24
402,402,1-7301,19
403,403,1-8691,1
404,404,1-5819,24
405,405,1-18927,20
406,406,1-6496,18
407,407,1-19851,13
408,408,1-10305,6
409,409,1-9123,24
410,410,7W2-12806,4
