,Unnamed: 0,Exam Group,Exam Block
0,0,1-3186,1
1,1,MLG02,14
2,2,MLG03,15
3,3,MLG06,4
4,4,1-1530,16
5,5,1-8611,3
6,6,MLG12,9
7,7,1-3026,18
8,8,1-19755,9
9,9,MLG15,7
10,10,MLG63,13
11,11,MLG08,7
12,12,1-3523,14
13,13,MLG11,8
14,14,1-3037,2
15,15,MLG14,17
16,16,1-0691,17
17,17,1-2272,4
18,18,1-5635,15
19,19,1-8165,11
20,20,1-0708,4
21,21,1-1633,1
22,22,1-6568,16
23,23,1-8567,6
24,24,MLG62,12
25,25,1-3047,12
26,26,1-8718,18
27,27,1-6569,10
28,28,1-7425,1
29,29,1-6957,10
30,30,1-1687,3
31,31,1-7462,18
32,32,1-8019,10
33,33,1-18507,5
34,34,1-3152,6
35,35,1-7901,11
36,36,1-5899,6
37,37,1-7946,16
38,38,MLG67,5
39,39,1-4766,14
40,40,MLG70,5
41,41,1-9365,14
42,42,1-7172,11
43,43,1-8681,8
44,44,1-19257,4
45,45,1-1070,13
46,46,1-3056,18
47,47,1-2292,10
48,48,1-8371,13
49,49,1-1035,8
50,50,1-7302,23
51,51,1-4011,24
52,52,MLG66,13
53,53,MLG13,7
54,54,1-6727,24
55,55,MLG61,19
56,56,MLG53,23
57,57,1-8484,21
58,58,1-0983,24
59,59,1-7460,21
60,60,1-5531,21
61,61,1-6678,4
62,62,1-3496,23
63,63,1-0916,22
64,64,1-1131,2
65,65,1-0677,20
66,66,1-8564,6
67,67,1-4394,10
68,68,1-5228,3
69,69,MLG45,20
70,70,MLG74,6
71,71,1-0918,1
72,72,MLG73,18
73,73,MLG57,7
74,74,1-7518,10
75,75,MLG50,14
76,76,MLG09,17
77,77,1-7038,2
78,78,1-7306,19
79,79,MLG33,20
80,80,1-9340,21
81,81,1-5642,10
82,82,1-3509,14
83,83,1-7402,20
84,84,1-2275,22
85,85,MLG26,20
86,86,1-1712,24
87,87,MLG65,21
88,88,1-6684,16
89,89,MLG71,7
90,90,1-1099,1
91,91,1-2742,5
92,92,1-6511,8
93,93,1-3693,19
94,94,1-9100,12
95,95,MLG68,19
96,96,MLG36,22
97,97,1-4654,1
98,98,MLG76,24
99,99,1-0917,11
100,100,1-0541,24
101,101,1-1655,1
102,102,MLG64,15
103,103,1-1005,9
104,104,1-7872,22
105,105,1-3364,24
106,106,1-0529,11
107,107,1-8121,1
108,108,1-1887,5
109,109,1-1136,3
110,110,1-1152,18
111,111,1-1166,9
112,112,1-9114,1
113,113,1-8753,10
114,114,1-3174,1
115,115,1-0598,4
116,116,1-6166,21
117,117,1-8480,2
118,118,1-7971,6
119,119,1-2485,1
120,120,MLG48,16
121,121,1-8949,7
122,122,1-3051,21
123,123,MLG52,22
124,124,MLG59,21
125,125,MLG55,11
126,126,1-18045,17
127,127,MLG56,2
128,128,1-8754,3
129,129,1-3246,19
130,130,1-6501,24
131,131,MLG47,24
132,132,1-9260,4
133,133,1-4397,12
134,134,1-7057,17
135,135,1-7720,12
136,136,MLG51,19
137,137,1-8916,14
138,138,1-7993,6
139,139,1-9341,24
140,140,1-19891,10
141,141,1-12345,1
142,142,1-7187,9
143,143,1-3135,14
144,144,1-7081,17
145,145,MLG78,19
146,146,1-7539,24
147,147,1-7589,13
148,148,1-6677,1
149,149,1-7547,11
150,150,1-8228,17
151,151,MLG29,20
152,152,1-7725,1
153,153,1-3717,10
154,154,MLG83,20
155,155,1-5687,12
156,156,1-9157,14
157,157,1-8666,16
158,158,1-7107,18
159,159,1-2364,15
160,160,1-7636,10
161,161,1-8368,1
162,162,1-10960,3
163,163,1-1119,22
164,164,1-6591,21
165,165,1-9454,14
166,166,1-5696,13
167,167,1-6637,3
168,168,1-7523,16
169,169,1-7900,18
170,170,1-9276,14
171,171,1-6654,7
172,172,MLG18,2
173,173,MLG17,7
174,174,1-7733,4
175,175,MLG32,20
176,176,1-0582,1
177,177,1-19121,6
178,178,1-19068,24
179,179,1-9294,22
180,180,MLG77,4
181,181,1-1466,6
182,182,1-8678,10
183,183,MLG42,20
184,184,1-9071,6
185,185,1-9291,21
186,186,1-1176,1
187,187,1-6506,13
188,188,MLG69,24
189,189,1-0429,10
190,190,1-7625,7
191,191,MLG58,7
192,192,MLG82,5
193,193,1-6625,3
194,194,1-8628,10
195,195,1-7522,10
196,196,1-7943,1
197,197,1-6953,7
198,198,MLG30,20
199,199,1-3405,1
200,200,1-8630,13
201,201,1-4380,21
202,202,1-1367,23
203,203,1-9644,13
204,204,1-6214,17
205,205,MLG27,6
206,206,1-1514,23
207,207,1-4874,18
208,208,1-8629,7
209,209,1-6249,9
210,210,1-7488,1
211,211,1-3254,9
212,212,1-0447,3
213,213,1-9351,2
214,214,1-8087,16
215,215,1-7936,2
216,216,1-2829,7
217,217,1-19133,7
218,218,1-8986,24
219,219,1-5159,1
220,220,1-18620,4
221,221,1-10043,6
222,222,1-7403,3
223,223,1-11205,13
224,224,7W1-20421,1
225,225,1-17959,6
226,226,1-0455,10
227,227,MLG20,12
228,228,1-18412,17
229,229,1-8055,24
230,230,1-5686,10
231,231,1-9515,18
232,232,1-8058,10
233,233,1-8061,24
234,234,1-8053,19
235,235,1-10800,24
236,236,1-8702,18
237,237,1-8044,16
238,238,1-18469,21
239,239,1-8287,9
240,240,1-7332,24
241,241,1-8729,24
242,242,1-8618,22
243,243,1-11438,23
244,244,1-8177,24
245,245,1-8300,20
246,246,1-18266,17
247,247,1-5185,7
248,248,1-9542,20
249,249,1-8284,4
250,250,P1-0004,23
251,251,1-20045,1
252,252,1-10808,1
253,253,1-2432,24
254,254,1-8735,10
255,255,1-19884,8
256,256,1-7464,4
257,257,1-9040,11
258,258,MLG24,6
259,259,1-6494,21
260,260,1-8808,22
261,261,1-11189,14
262,262,1-4874,17
263,263,1-2083,23
264,264,7W1-8534,21
265,265,1-18635,2
266,266,1-8973,7
267,267,1-8057,8
268,268,1-5287,21
269,269,1-18956,15
270,270,1-6492,10
271,271,1-20068,16
272,272,1-3302,18
273,273,1-1025,10
274,274,1-1964,23
275,275,1-8951,6
276,276,1-8135,24
277,277,1-8537,16
278,278,1-7348,14
279,279,1-8750,15
280,280,1-5568,24
281,281,1-3075,4
282,282,MLG37,20
283,283,1-18816,1
284,284,1-8545,24
285,285,1-7656,14
286,286,1-7723,16
287,287,1-3477,7
288,288,7W1-12374,4
289,289,1-11045,20
290,290,1-7809,1
291,291,1-7326,7
292,292,1-7418,24
293,293,1-8711,10
294,294,1-8834,24
295,295,1-0984,23
296,296,1-3489,16
297,297,1-7622,17
298,298,1-3081,24
299,299,1-3469,21
300,300,MLG01,21
301,301,MLG35,22
302,302,MLG31,19
303,303,1-3077,1
304,304,1-7581,10
305,305,1-1047,1
306,306,1-6101,12
307,307,1-7579,19
308,308,1-19093,6
309,309,1-10018,24
310,310,1-0454,21
311,311,1-2006,20
312,312,MLG43,2
313,313,1-0754,13
314,314,1-8765,13
315,315,1-7390,20
316,316,1-0584,21
317,317,1-7899,24
318,318,1-6764,6
319,319,1-7655,16
320,320,1-11209,22
321,321,1-9543,9
322,322,1-9063,11
323,323,1-8924,21
324,324,1-8859,4
325,325,1-8497,22
326,326,1-2699,1
327,327,1-8613,24
328,328,1-5109,15
329,329,1-8990,22
330,330,1-6737,16
331,331,1-6835,13
332,332,1-17970,8
333,333,1-3216,13
334,334,1-18987,19
335,335,1-6543,12
336,336,1-3162,5
337,337,1-11132,1
338,338,1-18973,19
339,339,1-8853,24
340,340,1-3491,12
341,341,7W2-19692,23
342,342,1-3079,13
343,343,7W1-0102,18
344,344,1-18435,18
345,345,1-7870,4
346,346,1-1763,1
347,347,1-4776,18
348,348,1-3257,9
349,349,1-9499,21
350,350,1-8864,22
351,351,1-10981,18
352,352,1-7456,8
353,353,1-0363,4
354,354,1-18794,15
355,355,1-6661,15
356,356,1-8126,1
357,357,1-7883,13
358,358,1-5515,24
359,359,1-9217,4
360,360,1-7429,13
361,361,1-7781,14
362,362,1-6721,1
363,363,1-0997,24
364,364,1-20100,17
365,365,MLG22,19
366,366,1-9285,2
367,367,1-10294,16
368,368,1-5537,21
369,369,1-6168,9
370,370,1-9253,23
371,371,1-6199,5
372,372,7W2-0103,21
373,373,1-19109,4
374,374,1-7647,9
375,375,1-7486,4
376,376,1-3356,5
377,377,1-9399,19
378,378,1-8023,24
379,379,1-7484,12
380,380,MLG40,22
381,381,1-8187,6
382,382,1-6029,21
383,383,1-20077,20
384,384,1-8928,7
385,385,1-3472,18
386,386,1-6554,5
387,387,1-7499,14
388,388,1-9601,1
389,389,1-18869,14
390,390,1-8766,18
391,391,1-7575,8
392,392,1-5655,5
393,393,1-9182,22
394,394,1-9436,17
395,395,1-3300,12
396,396,1-20138,9
397,397,1-7449,8
398,398,1-7776,9
399,399,1-10042,15
400,400,1-7567,16
401,401,MLG38,20
402,402,1-7301,17
403,403,1-8691,24
404,404,1-5819,23
405,405,1-18927,7
406,406,1-6496,24
407,407,1-19851,1
408,408,1-10305,15
409,409,1-9123,13
410,410,7W2-12806,1
411,411,1-8914,24
412,412,MLG28,20
413,413,1-0295,23
414,414,1-7453,14
415,415,1-11388,23
416,416,1-18370,21
417,417,1-11522,24
418,418,1-6559,24
419,419,1-1958,7
420,420,1-9121,1
421,421,1-11523,14
422,422,1-7621,4
423,423,1-7987,21
424,424,1-8186,12
425,425,1-9135,3
426,426,1-6558,24
427,427,1-9115,17
428,428,1-8162,19
429,429,1-10919,1
430,430,1-9287,24
431,431,1-17969,24
432,432,1-1636,9
433,433,1-6533,5
434,434,1-7770,17
435,435,1-20040,24
436,436,1-11026,9
437,437,1-11533,16
438,438,1-9245,21
439,439,1-2192,1
440,440,1-9232,23
441,441,1-7476,16
442,442,1-7564,1
443,443,1-9396,11
444,444,1-10725,21
445,445,1-20081,12
446,446,1-9586,1
447,447,1-9458,15
448,448,1-5154,9
449,449,1-7467,1
450,450,1-5221,18
451,451,1-7715,21
452,452,1-8747,4
453,453,1-7753,21
454,454,1-19987,4
455,455,1-17979,15
456,456,1-20065,6
457,457,1-1959,24
458,458,1-9473,14
459,459,1-11121,1
460,460,1-8291,1
461,461,1-9548,3
462,462,1-19627,24
463,463,1-3371,8
464,464,1-9197,24
465,465,1-9225,20
466,466,1-1067,7
467,467,1-3182,8
468,468,1-8062,24
469,469,1-9412,8
470,470,1-18952,1
471,471,MLG04,1
472,472,1-7430,24
473,473,1-8981,10
474,474,1-4136,9
475,475,1-19108,4
476,476,1-3733,14
477,477,1-9316,10
478,478,1-8039,11
479,479,1-7910,7
480,480,1-7083,13
481,481,P1-17272,2
482,482,1-9522,14
483,483,1-9267,11
484,484,1-9203,12
485,485,1-7444,7
486,486,1-7146,14
487,487,1-7737,9
488,488,1-2322,18
489,489,1-3141,19
490,490,1-7297,24
491,491,1-6816,1
492,492,1-20046,1
493,493,1-7472,11
494,494,1-2318,21
495,495,1-10823,23
496,496,1-0487,18
497,497,1-3301,23
498,498,1-9259,18
499,499,1-9411,6
500,500,1-3631,23
501,501,1-0337,2
502,502,1-8090,16
503,503,1-8753,1
504,504,1-7721,19
505,505,1-7712,15
506,506,1-19859,17
507,507,1-5271,1
508,508,MLG25,13
509,509,1-2523,10
510,510,MLG05,4
511,511,P1-6891,7
512,512,1-17965,21
513,513,1-5140,24
514,514,1-9095,6
515,515,1-18770,3
516,516,1-8242,18
517,517,1-20780,13
518,518,1-0305,17
519,519,1-6608,2
520,520,1-10882,1
521,521,1-3727,21
522,522,1-5314,20
523,523,1-17927,14
524,524,1-10952,24
525,525,1-6015,24
526,526,1-11534,24
527,527,1-2429,1
528,528,1-9318,21
529,529,1-19069,24
530,530,1-3099,10
531,531,1-3702,21
532,532,1-9584,21
533,533,1-7707,9
534,534,1-4413,1
535,535,1-5965,1
536,536,1-3699,1
537,537,1-3369,14
538,538,1-7178,1
539,539,1-4609,1
540,540,1-3117,7
541,541,1-18369,13
542,542,1-7711,1
543,543,1-9466,6
544,544,1-9600,24
545,545,1-8940,6
546,546,1-3370,1
547,547,1-21411,1
548,548,1-19192,15
549,549,1-7870,4
550,550,1-7834,12
551,551,1-9935,1
552,552,1-9230,9
553,553,1-3309,24
554,554,1-9621,17
555,555,1-3142,6
556,556,1-7886,1
557,557,1-9643,1
558,558,1-10622,4
559,559,1-10217,21
560,560,1-5303,12
561,561,1-3100,1
562,562,1-5304,21
563,563,1-19989,1
564,564,1-19067,1
565,565,1-5873,2
566,566,1-8899,24
567,567,1-7356,8
568,568,1-3734,4
569,569,1-20124,20
570,570,1-5199,1
571,571,1-21180,1
572,572,1-9486,1
573,573,1-3380,1
574,574,1-5146,1
575,575,1-9133,12
576,576,1-3739,1
577,577,1-9958,18
578,578,1-4387,1
579,579,1-4618,1
580,580,1-20283,7
