,Unnamed: 0,Exam Group,Exam Block
0,0,1-0295,22
1,1,1-0305,14
2,2,1-0337,10
3,3,1-0363,13
4,4,1-0429,19
5,5,1-0447,19
6,6,1-0454,15
7,7,1-0455,10
8,8,1-0487,18
9,9,1-0529,16
10,10,1-0541,15
11,11,1-0582,17
12,12,1-0584,20
13,13,1-0598,4
14,14,1-0677,17
15,15,1-0691,17
16,16,1-0708,17
17,17,1-0754,14
18,18,1-0916,21
19,19,1-0917,15
20,20,1-0918,10
21,21,1-0983,16
22,22,1-0984,4
23,23,1-0997,14
24,24,1-1070,17
25,25,1-1099,3
26,26,1-1131,13
27,27,1-1367,15
28,28,1-1466,7
29,29,1-1514,4
30,30,1-1530,16
31,31,1-1633,10
32,32,1-1636,8
33,33,MLG67,2
34,34,1-1964,1
35,35,1-2272,19
36,36,1-2292,12
37,37,1-2364,21
38,38,1-2432,1
39,39,MLG70,2
40,40,1-2485,21
41,41,1-2523,1
42,42,1-2742,19
43,43,1-3174,15
44,44,1-3246,22
45,45,1-3699,11
46,46,1-3739,16
47,47,1-4011,7
48,48,1-4136,11
49,49,1-4380,20
50,50,1-4654,10
51,51,1-4766,2
52,52,1-4874,12
53,53,1-5109,2
54,54,1-5159,22
55,55,1-5185,8
56,56,1-5271,13
57,57,MLG77,8
58,58,1-5287,11
59,59,1-5531,17
60,60,1-5537,8
61,61,1-5568,7
62,62,1-5635,2
63,63,1-5642,12
64,64,MLG59,4
65,65,MLG68,11
66,66,1-5686,5
67,67,1-5687,14
68,68,1-5696,13
69,69,1-5899,7
70,70,1-6101,16
71,71,1-6166,19
72,72,1-6168,12
73,73,1-6199,3
74,74,1-6214,17
75,75,1-6249,22
76,76,1-7081,11
77,77,1-7083,5
78,78,1-7146,4
79,79,1-7172,18
80,80,1-7306,22
81,81,1-7332,2
82,82,1-7348,21
83,83,1-7390,11
84,84,1-7402,17
85,85,1-7403,12
86,86,1-7418,11
87,87,1-7425,10
88,88,1-7429,4
89,89,1-7430,22
90,90,1-7444,18
91,91,1-7449,22
92,92,1-7453,10
93,93,1-7456,17
94,94,1-7460,19
95,95,1-7462,11
96,96,1-7464,20
97,97,1-7467,16
98,98,1-7472,6
99,99,1-7476,1
100,100,1-7484,21
101,101,1-7486,1
102,102,1-7488,22
103,103,1-7499,12
104,104,1-7518,19
105,105,1-7539,16
106,106,1-7547,15
107,107,1-7564,13
108,108,1-7567,17
109,109,1-7575,3
110,110,1-7579,10
111,111,1-7581,12
112,112,1-7589,15
113,113,1-7621,8
114,114,1-7622,20
115,115,1-7625,15
116,116,1-7636,1
117,117,1-7647,5
118,118,1-7655,6
119,119,1-7656,2
