,Exam Group,Exam Block
0,1-8545,5
1,1-7943,9
2,1-8611,21
3,1-18956,5
4,1-19133,12
5,1-8121,16
6,MLG58,2
7,1-11209,3
8,MLG59,4
9,1-8765,15
10,1-7390,17
11,1-8750,14
12,1-9133,4
13,1-7622,7
14,MLG78,8
15,1-5537,1
16,1-7539,15
17,1-9217,5
18,1-5635,11
19,1-9515,18
20,1-3141,1
21,1-6816,2
22,1-20100,11
23,1-11189,3
24,1-2742,4
25,MLG68,6
26,1-0918,9
27,1-0984,10
28,1-7081,11
29,1-8090,2
30,1-20045,8
31,1-8735,4
32,1-7870,18
33,1-0997,2
34,1-7589,10
35,1-8300,14
36,1-5686,20
37,1-8039,2
38,1-10018,1
39,1-8567,19
40,1-6214,6
41,MLG24,5
42,1-7753,15
43,1-7518,18
44,1-5873,3
45,1-1070,7
46,1-3056,19
47,MLG15,19
48,1-6101,16
49,7W2-19692,2
50,MLG14,19
51,1-8981,12
52,1-6015,4
53,1-9340,17
54,1-6957,7
55,1-8135,13
56,1-8924,1
57,1-6654,20
58,1-7723,9
59,1-2272,17
60,1-0916,11
61,1-7306,15
62,1-9114,7
63,1-5642,3
64,1-8729,16
65,1-6721,14
66,1-7348,21
67,1-19989,12
68,1-6533,3
69,1-7418,4
70,1-9644,6
71,MLG26,1
72,1-9643,13
73,1-9318,1
74,1-6953,7
75,1-7547,5
76,1-5687,8
77,1-7567,21
78,1-6677,5
79,1-6661,1
80,1-21411,2
81,1-1099,12
82,1-6029,6
83,1-1152,11
84,1-3491,4
85,1-8986,9
86,1-10042,5
87,1-0708,21
88,1-6637,2
89,1-9586,4
90,MLG83,8
91,1-9458,11
92,1-7621,21
93,1-0677,14
94,1-8928,19
95,1-7625,7
96,1-10725,4
97,1-0455,10
98,1-9543,21
99,1-7655,3
100,1-7707,4
101,1-8228,18
102,1-6737,20
103,1-17927,11
104,1-9040,7
105,1-8834,19
106,1-8973,6
107,1-2192,2
108,1-0917,5
109,1-3309,1
110,1-9225,3
111,1-7900,1
112,1-7564,22
113,1-7647,15
114,1-7449,16
115,1-3254,1
116,1-7737,3
117,1-2523,19
118,1-7429,2
119,1-7476,22
120,MLG69,19
121,1-8853,10
122,1-20046,13
123,1-3472,5
124,1-19987,9
125,1-7581,15
126,1-3489,21
127,1-18952,6
128,MLG33,1
129,1-7579,20
130,MLG32,4
131,MLG13,11
132,1-0454,16
133,1-7460,17
134,1-6496,16
135,1-7499,5
136,1-7425,22
137,1-19257,18
138,1-2829,1
139,1-2699,7
140,1-9341,2
141,MLG42,20
142,MLG17,6
143,1-7302,18
144,1-8914,1
145,1-18635,19
146,1-9260,10
147,1-7172,18
148,1-2028,7
149,1-9621,12
150,P1-0004,16
151,1-11026,20
152,1-1530,16
153,MLG43,1
154,1-2485,11
155,1-7462,14
156,1-2322,4
157,1-2318,3
158,MLG12,7
159,MLG36,1
160,1-0363,18
161,1-7656,1
162,1-8242,10
163,1-1633,22
164,MLG29,18
165,1-5185,1
166,1-9454,12
167,1-9287,9
168,1-7636,16
169,1-1466,9
170,MLG40,5
171,1-3300,2
172,1-7326,17
173,1-7456,4
174,1-6568,20
175,1-8177,20
176,1-7356,7
177,1-10952,3
178,1-0754,4
179,1-8186,9
180,1-7886,15
181,1-9123,18
182,1-4136,4
183,1-18927,6
184,1-5314,2
185,1-3301,16
186,1-8162,4
187,1-3477,17
188,1-5221,5
189,1-7834,21
190,1-6199,17
191,1-9285,21
192,1-4874,22
193,1-3081,1
194,1-19109,13
195,1-3079,7
196,1-8537,14
197,1-20780,7
198,1-9203,1
199,1-0529,17
200,7W2-12806,8
201,1-3075,21
202,1-19108,20
203,1-19884,3
204,1-3509,6
205,1-7776,4
206,1-20065,8
207,1-4766,16
208,1-20077,13
209,MLG76,13
210,1-3182,15
211,1-7187,8
212,1-9522,6
213,1-8859,9
214,1-19859,7
215,1-7430,22
216,1-18953,1
217,1-7575,1
218,MLG11,14
219,1-8371,14
220,1-19627,11
221,1-20138,10
222,1-17959,19
223,1-5109,4
224,MLG05,3
225,1-17970,10
226,1-1047,22
227,1-9542,11
228,1-18816,15
229,1-6569,10
230,1-8766,1
231,1-4413,16
232,1-3186,22
233,1-8864,3
234,1-9935,15
235,1-3077,6
236,1-9245,18
237,1-7484,14
238,1-7444,17
239,1-1136,3
240,1-6168,10
241,1-2429,1
242,1-1367,1
243,1-7712,1
244,1-3099,7
245,1-10305,1
246,1-9232,13
247,1-8753,12
248,1-19068,3
249,1-9259,6
250,1-7178,8
251,MLG27,14
252,1-1887,8
253,1-7781,2
254,1-9230,20
255,1-17969,2
256,1-3037,8
257,MLG06,16
258,1-4654,22
259,1-5146,21
260,1-0305,7
261,1-8747,16
262,1-4394,12
263,1-7486,19
264,1-1131,17
265,1-7464,17
266,1-6554,15
267,1-7715,5
268,1-7899,13
269,1-5271,20
270,1-5655,5
271,1-19121,4
272,1-5531,2
273,1-9157,1
274,1-8497,3
275,1-1712,9
276,1-9548,3
277,P1-6891,10
278,1-3152,6
279,MLG03,11
280,MLG09,3
281,1-8126,5
282,1-7711,1
283,1-1636,19
284,1-5159,4
285,1-6727,9
286,1-7725,22
287,1-9267,3
288,1-20283,11
289,1-9958,21
290,1-0447,4
291,1-17979,18
292,1-11045,1
293,MLG20,8
294,1-3051,3
295,1-7522,14
296,1-21180,8
297,1-3702,18
298,1-7107,7
299,1-9316,20
300,1-7083,5
301,1-6684,17
302,1-8899,21
303,1-6543,10
304,1-10294,11
305,1-7472,21
306,1-18987,17
307,1-5199,9
308,1-1025,13
309,1-7481,20
310,1-9486,1
311,1-3739,19
312,1-3364,9
313,1-3631,1
314,1-11388,20
315,MLG31,1
316,1-4776,21
317,1-3733,13
318,1-3496,13
319,1-20040,13
320,1-0541,9
321,MLG30,15
322,MLG22,2
323,1-7946,13
324,1-3369,2
325,1-6625,20
326,1-9095,9
327,1-4609,3
328,1-7883,7
329,1-19755,21
330,MLG28,2
331,1-9412,6
332,1-6501,9
333,1-3047,16
334,1-3693,2
335,1-9276,2
336,1-8678,12
337,1-1035,16
338,1-3523,18
339,1-7523,20
340,1-0487,1
341,1-0983,1
342,MLG53,10
343,1-8754,3
344,1-9294,6
345,1-2364,5
346,1-10823,6
347,1-7720,13
348,MLG62,14
349,MLG57,1
350,1-19891,20
351,1-9399,19
352,1-2275,17
353,1-8681,7
354,1-11438,4
355,1-8666,5
356,1-18045,2
357,1-7488,22
358,MLG18,15
359,1-6166,4
360,MLG67,21
361,1-0691,6
362,1-0429,10
363,1-7993,2
364,MLG02,6
365,1-18435,2
366,MLG63,12
367,1-5154,13
368,1-4011,9
369,1-8564,20
370,1-7971,9
371,MLG66,9
372,1-6511,15
373,MLG73,4
374,MLG74,10
375,1-8990,4
376,1-18412,6
377,1-7901,19
378,1-5819,7
379,1-5228,3
380,MLG64,11
381,1-7987,3
382,1-18469,11
383,1-0582,18
384,1-0584,15
385,MLG70,16
386,MLG08,15
387,1-3469,15
388,1-8019,12
389,1-0598,12
390,1-1005,13
391,1-8165,8
392,1-18266,15
393,1-2292,14
394,1-8808,4
395,1-18620,12
396,1-11132,7
397,1-6492,3
398,MLG65,2
399,1-8087,5
400,MLG71,8
401,1-7038,1
402,1-1958,17
403,1-7402,15
404,1-9291,14
405,1-9365,21
406,1-6558,16
407,1-5899,13
408,1-8023,10
409,1-7297,5
410,1-8368,22
411,1-9135,17
412,1-7403,3
413,1-1763,5
414,1-5140,15
415,1-7872,4
416,1-3246,20
417,1-3026,21
418,1-1655,22
419,1-1176,14
420,1-7057,1
421,1-12345,2
422,1-3405,22
423,1-5696,2
424,1-8061,20
425,1-10919,22
426,1-7332,2
427,1-8613,9
428,1-7733,19
429,1-8949,17
430,1-8718,21
431,1-9115,4
432,1-1067,13
433,MLG55,11
434,1-6835,7
435,1-10882,16
436,1-8702,15
437,1-19093,2
438,1-9100,6
439,1-8062,19
440,1-9197,11
441,1-3717,12
442,1-7770,22
443,1-4397,6
444,1-2083,18
445,MLG61,13
446,1-1166,18
447,7W2-0103,5
448,1-6249,19
449,1-10960,18
450,1-2432,5
451,1-7146,12
452,1-18370,13
453,MLG45,1
454,1-6678,17
455,1-10981,14
456,1-2006,16
457,1-9071,4
458,1-9063,18
459,1-8284,4
460,1-8044,10
461,1-9351,18
462,1-8484,12
463,1-8187,10
464,1-8629,1
465,1-8053,2
466,1-1687,18
467,MLG82,5
468,1-11523,22
469,1-6494,8
470,1-10043,4
471,1-8618,18
472,MLG52,14
473,1-3174,17
474,1-6608,12
475,1-11522,15
476,MLG01,2
477,1-20081,11
478,1-8916,8
479,1-7809,1
480,1-1514,20
481,1-19851,17
482,1-11534,19
483,MLG47,13
484,MLG35,20
485,MLG25,11
486,1-6506,22
487,1-7467,1
488,1-18369,14
489,1-8058,12
490,1-6591,14
491,MLG51,17
492,1-3257,19
493,1-3162,10
494,MLG37,12
495,1-5515,2
496,1-18973,17
497,1-3216,4
498,MLG38,3
499,1-3135,5
500,MLG50,10
501,MLG56,5
502,1-8055,8
503,1-0295,22
504,1-18507,22
505,1-7936,10
506,1-3302,14
507,1-19067,4
508,1-8057,9
509,1-9473,16
510,1-1119,3
511,1-8691,21
512,1-9121,12
513,1-7453,19
514,1-6764,16
515,1-8480,6
516,1-0337,7
517,1-9436,8
518,1-3356,6
519,1-10800,3
520,1-8287,17
521,1-8630,1
522,1-10808,4
523,MLG04,3
524,1-3734,21
525,1-3117,21
526,1-11205,6
527,1-5568,2
528,MLG77,5
529,1-11533,13
530,1-7721,20
531,1-8951,3
532,1-9182,14
533,1-3371,8
534,MLG48,19
535,1-9253,14
536,1-1964,11
537,1-9499,6
538,1-18794,13
539,1-6559,9
540,1-8711,12
541,1-7301,5
542,1-5287,22
543,1-1959,8
544,1-20124,1
545,1-8291,12
546,1-9601,22
547,1-9600,18
548,1-3380,11
549,1-10622,3
550,1-3727,1
551,1-18869,16
552,1-9396,19
553,1-17965,1
554,1-18770,1
555,1-20068,14
556,1-5304,1
557,P1-17272,22
558,1-8628,10
559,1-9466,8
560,1-8940,12
561,1-3699,9
562,1-3142,7
563,1-11121,8
564,1-5303,3
565,1-19069,10
566,1-19192,11
567,1-5713,3
568,1-7910,1
569,1-10217,2
570,1-5965,5
571,1-4387,15
572,1-9584,5
573,1-3100,1
574,1-4618,8
575,1-5714,1
