,Unnamed: 0,Exam Group,Exam Block
0,0,1-0295,2
1,1,1-0305,11
2,2,1-0337,5
3,3,1-0363,1
4,4,1-0429,3
5,5,1-0447,3
6,6,1-0454,7
7,7,1-0455,2
8,8,1-0487,2
9,9,1-0529,15
10,10,1-0541,6
11,11,1-0582,9
12,12,1-0584,5
13,13,1-0598,5
14,14,1-0677,1
15,15,1-0691,1
16,16,1-0708,1
17,17,1-0754,11
18,18,1-0916,13
19,19,1-0917,8
20,20,1-0918,2
21,21,1-0983,10
22,22,1-0984,16
23,23,1-0997,17
24,24,1-1070,1
25,25,1-1099,7
26,26,1-1131,14
27,27,1-1367,8
28,28,1-1466,6
29,29,1-1514,9
30,30,1-1530,16
31,31,1-1633,2
32,32,1-1636,21
33,33,MLG67,11
34,34,1-1964,19
35,35,1-2272,15
36,36,1-2292,18
37,37,1-2364,13
38,38,1-2432,14
39,39,MLG70,22
40,40,1-2485,3
41,41,1-2523,13
42,42,1-2742,3
43,43,1-3174,2
44,44,1-3246,18
45,45,1-3699,2
46,46,1-3739,15
47,47,1-4011,6
48,48,1-4136,1
49,49,1-4380,9
50,50,1-4654,21
51,51,1-4766,4
52,52,1-4874,22
53,53,1-5109,19
54,54,1-5159,2
55,55,1-5185,12
56,56,1-5271,18
57,57,MLG77,6
58,58,1-5287,19
59,59,1-5531,1
60,60,1-5537,9
61,61,1-5568,6
62,62,1-5635,13
63,63,1-5642,5
64,64,MLG59,11
65,65,MLG68,8
66,66,1-5686,5
67,67,1-5687,22
68,68,1-5696,1
69,69,1-5899,6
70,70,1-6101,10
71,71,1-6166,3
72,72,1-6168,11
73,73,1-6199,5
74,74,1-6214,1
75,75,1-6249,9
76,76,1-7081,1
77,77,1-7083,9
78,78,1-7146,5
79,79,1-7172,9
80,80,1-7306,7
81,81,1-7332,8
82,82,1-7348,19
83,83,1-7390,9
84,84,1-7402,1
85,85,1-7403,3
86,86,1-7418,2
87,87,1-7425,2
88,88,1-7429,20
89,89,1-7430,13
90,90,1-7444,13
91,91,1-7449,18
92,92,1-7453,8
93,93,1-7456,12
94,94,1-7460,22
95,95,1-7462,14
96,96,1-7464,11
97,97,1-7467,10
98,98,1-7472,8
99,99,1-7476,16
100,100,1-7484,11
101,101,1-7486,18
102,102,1-7488,2
103,103,1-7499,19
104,104,1-7518,3
105,105,1-7539,16
106,106,1-7547,12
107,107,1-7564,7
108,108,1-7567,15
109,109,1-7575,20
110,110,1-7579,1
111,111,1-7581,4
112,112,1-7589,13
113,113,1-7621,3
114,114,1-7622,17
115,115,1-7625,4
116,116,1-7636,9
117,117,1-7647,2
118,118,1-7655,13
119,119,1-7656,8
120,120,1-7707,8
121,121,1-7711,3
122,122,1-7712,5
123,123,1-7715,16
124,124,1-7720,1
125,125,1-7721,3
126,126,1-7723,16
127,127,1-7725,2
128,128,1-7737,4
129,129,1-7753,2
130,130,1-7770,2
131,131,1-7776,4
132,132,1-7781,12
133,133,1-7809,2
134,134,1-7834,17
135,135,1-7870,15
136,136,1-7899,16
137,137,1-7900,20
138,138,1-7901,8
139,139,1-7936,9
140,140,1-7946,10
141,141,1-7987,18
142,142,1-7993,6
143,143,1-8019,18
144,144,1-8087,16
145,145,1-8090,21
146,146,1-8121,2
147,147,1-8126,2
148,148,1-8135,10
149,149,1-8162,6
150,150,1-8165,11
151,151,1-8177,1
152,152,1-8186,15
153,153,1-8187,18
154,154,1-8228,3
155,155,1-8242,16
156,156,1-8284,6
157,157,1-8291,1
158,158,1-8368,21
159,159,1-8497,4
160,160,1-8564,6
161,161,1-8567,6
162,162,1-8691,1
163,163,1-8702,18
164,164,1-8711,18
165,165,1-8718,7
166,166,1-8747,5
167,167,1-8750,2
168,168,1-8753,5
169,169,1-8766,17
170,170,1-8808,22
171,171,MLG76,7
172,172,1-8834,15
173,173,1-8853,15
174,174,MLG78,15
175,175,1-8859,7
176,176,1-8864,22
177,177,1-8914,12
178,178,1-8916,19
179,179,1-8924,1
180,180,1-8928,3
181,181,MLG58,20
182,182,1-8949,17
183,183,1-8973,19
184,184,1-8981,4
185,185,1-9040,11
186,186,1-9071,6
187,187,1-9095,5
188,188,1-9100,1
189,189,1-9114,2
190,190,1-9115,15
191,191,1-9121,10
192,192,1-9123,12
193,193,1-9133,1
194,194,1-9135,3
195,195,1-9157,22
196,196,1-9182,10
197,197,1-9197,6
198,198,1-9203,18
199,199,1-9217,7
200,200,1-9225,11
201,201,1-9230,14
202,202,1-9232,14
203,203,1-9245,21
204,204,1-9259,19
205,205,1-9260,15
206,206,1-9267,21
207,207,1-9276,19
208,208,1-9285,3
209,209,1-9287,21
210,210,1-9291,20
211,211,1-9294,11
212,212,1-9316,4
213,213,1-9318,10
214,214,1-9340,3
215,215,1-9341,10
216,216,MLG66,9
217,217,1-9396,3
218,218,1-9399,17
219,219,1-9411,21
220,220,1-9454,17
221,221,1-9458,14
222,222,1-9466,7
223,223,1-9473,13
224,224,1-9486,15
225,225,1-9499,20
226,226,1-9515,4
227,227,1-9522,15
228,228,1-9542,13
229,229,1-9543,9
230,230,1-9548,3
231,231,1-9584,7
232,232,1-9586,8
233,233,7W1-0102,15
234,234,7W2-0103,4
235,235,P1-0004,10
236,236,1-10018,4
237,237,1-10042,19
238,238,1-10043,6
239,239,1-1005,16
240,240,1-10217,17
241,241,1-1025,4
242,242,1-10294,8
243,243,1-10305,19
244,244,1-1035,1
245,245,1-1047,2
246,246,1-10622,10
247,247,1-1067,17
248,248,1-10725,3
249,249,1-10800,14
250,250,1-10808,17
251,251,1-10823,1
252,252,1-10882,10
253,253,1-10919,2
254,254,1-10952,10
255,255,1-10960,3
256,256,1-10981,7
257,257,1-11026,21
258,258,1-11045,1
259,259,1-11121,2
260,260,1-11132,2
261,261,1-11189,17
262,262,1-1119,18
263,263,1-11205,11
264,264,1-11209,7
265,265,1-1136,3
266,266,1-11388,3
267,267,1-11438,16
268,268,1-1152,12
269,269,1-11522,7
270,270,1-11523,19
271,271,1-11533,16
272,272,1-11534,13
273,273,1-1166,9
274,274,1-1176,12
275,275,1-12345,2
276,276,1-1655,2
277,277,1-1687,15
278,278,1-1712,6
279,279,1-1763,2
280,280,1-17927,4
281,281,1-17959,6
282,282,1-17965,14
283,283,1-17969,20
284,284,1-17970,12
285,285,1-17979,4
286,286,1-18045,1
287,287,1-18266,4
288,288,1-18369,6
289,289,1-18370,3
290,290,1-18412,11
291,291,1-18435,19
292,292,1-18469,19
293,293,1-18507,2
294,294,1-18620,14
295,295,1-18635,8
296,296,1-18770,7
297,297,1-18794,12
298,298,1-18816,3
299,299,1-18869,13
300,300,1-1887,11
301,301,1-18927,9
302,302,1-18952,7
303,303,1-18956,21
304,304,1-18973,1
305,305,1-18987,18
306,306,1-19067,11
307,307,1-19068,8
308,308,1-19069,9
309,309,1-19093,6
310,310,1-19108,7
311,311,1-19109,21
312,312,1-19121,6
313,313,1-19133,20
314,314,1-19192,18
315,315,1-19257,9
316,316,1-1958,14
317,317,1-1959,2
318,318,1-19627,14
319,319,1-19755,9
320,320,1-19851,2
321,321,1-19859,6
322,322,1-19884,4
323,323,1-19891,5
324,324,1-19987,7
325,325,1-19989,7
326,326,1-20040,11
327,327,1-20045,10
328,328,1-20046,1
329,329,1-2006,15
330,330,1-20065,22
331,331,1-20068,16
332,332,1-20077,12
333,333,1-20081,1
334,334,1-20100,13
335,335,1-20124,21
336,336,1-20138,11
337,337,1-20283,11
338,338,1-20780,1
339,339,1-2083,19
340,340,1-21180,1
341,341,1-21411,13
342,342,1-2192,1
343,343,1-2275,16
344,344,1-2318,10
345,345,1-2322,17
346,346,1-2429,21
347,347,1-2699,14
348,348,1-2829,13
349,349,1-3026,19
350,350,1-3037,19
351,351,1-3047,1
352,352,1-3051,20
353,353,1-3056,7
354,354,1-3075,3
355,355,1-3077,14
356,356,1-3079,15
357,357,1-3081,2
358,358,1-3099,4
359,359,1-3100,20
360,360,1-3117,8
361,361,1-3135,10
362,362,1-3141,22
363,363,1-3142,13
364,364,1-3152,6
365,365,1-3162,5
366,366,1-3182,2
367,367,1-3186,2
368,368,1-3216,4
369,369,1-3254,3
370,370,1-3257,3
371,371,1-3300,4
372,372,1-3301,10
373,373,1-3302,12
374,374,1-3309,20
375,375,1-3356,15
376,376,1-3364,6
377,377,1-3369,16
378,378,1-3370,1
379,379,1-3371,15
380,380,1-3380,17
381,381,1-3405,2
382,382,1-3469,15
383,383,1-3472,4
384,384,1-3477,20
385,385,1-3489,5
386,386,1-3491,20
387,387,1-3496,10
388,388,1-3509,13
389,389,1-3523,12
390,390,1-3631,4
391,391,1-3693,1
392,392,1-3702,21
393,393,1-3717,5
394,394,1-3727,2
395,395,1-3733,16
396,396,1-3734,14
397,397,1-4387,1
398,398,1-4394,15
399,399,1-4397,1
400,400,1-4413,11
401,401,1-4609,17
