conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,source_file
7,0,3,5,59,25,286,359,1170,3130,1148,768,16.316758409785933,36370,218.0,2.0,23.0,54.45307075977325,20.351509302854534,3.618767261505127,7.0498597621917725,0.9565185755491256,1346.293181180954,97.74094820022584,44.61770057678223,356.1130404472351,0.2990328073501587,0.7851296663284302,0.5134226679801941,20250619_072545i2fl_test-cf25d40b166f2ade40bf7b93af2519a6.csv
14,0,4,8,68,34,340,527,1137,3795,1047,660,15.924036697247706,39713,259.0,6.0,20.0,62.47686147689819,39.90348130464554,5.472588539123535,8.291870951652527,2.9941976070404053,1953.586459159851,79.08776998519897,89.1389548778534,207.65513852238652,2.184894561767578,0.7451720237731934,0.3854027092456817,20250619_072545i3fl_test-88a0a058dc6cfedfac871264d261461f.csv
0,0,11,8,84,42,403,478,1196,3730,964,552,15.11461773700306,18644,275.0,1.0,20.0,43.552621603012085,43.64697873592377,0.544995553791523,0.0796557031571865,5.523025989532471,1650.598227977753,95.15334367752077,23.521322011947632,230.5180132389069,0.1136253923177719,0.5827644467353821,0.0642758309841156,20250619_072545i1fl_test-6ff0b05397cec4c24510f8aaee17e0e0.csv
7,0,3,4,38,38,314,461,1017,3218,1092,640,16.020183486238533,29874,218.0,2.0,23.0,61.17738485336304,32.38757222890854,9.288870096206663,4.735487997531891,9.106496572494509,1862.086653709412,69.13767457008362,19.381912052631375,327.016544342041,1.8806616067886357,0.4682750105857849,0.2876160442829132,20250619_072545i5fl_test-829777309daf6cac2fada0cbf2797d52.csv
7,0,1,6,33,25,263,532,1016,2964,1082,819,16.27474006116208,36856,218.0,2.0,23.0,81.13277852535248,31.055313646793365,8.056083917617798,4.21297013759613,5.845470428466797,1970.3205227851868,14.002153277397156,45.450446009635925,290.23993611335754,2.984092712402344,0.6537250280380249,0.9787949323654176,20250619_072545i4fl_test-f4eb9c5557e76bacc5cdc1c76bbec915.csv
14,0,4,8,92,44,387,434,1270,3872,1241,665,16.045688073394494,29780,259.0,6.0,20.0,56.67955100536346,47.90012538433075,5.81645667552948,2.9886260628700256,3.018537759780884,1733.2841157913208,48.40781390666962,37.154605984687805,308.4336519241333,1.2365740537643433,0.5869662761688232,0.3079981207847595,20250619_072545i6fl_test-8ca29de727360b5cb7784936f6688023.csv
0,0,2,11,64,36,404,395,1483,2896,1163,707,16.556880733944954,38121,251.0,2.0,23.0,16.388938054442406,11.825707629323006,8.82983922958374,2.928797006607056,0.5265060812234879,1349.1179943084717,79.90249395370483,25.18937885761261,309.08128023147583,0.4918261766433716,0.9921393990516664,0.5775225162506104,20250619_072545i7fl_test-17d3fc47ec82bc8c5aa32cba88fc6051.csv
2,0,0,6,41,17,282,365,941,3157,1002,647,16.262996941896024,33229,206.0,4.0,21.0,45.65566927194595,30.56979894638061,6.09039843082428,8.634267449378967,3.800649344921112,1717.1025276184082,47.92758822441101,53.459203243255615,217.85103678703308,2.2491018772125244,0.2317591905593872,0.3807740211486816,20250619_072545i8fl_test-3428759bcf012e0a83556828e4f4c248.csv
1,0,3,4,48,37,334,376,1155,3608,921,662,16.11211009174312,37178,265.0,0.0,20.0,23.067421913146973,18.745100796222687,1.0494307428598404,4.33391273021698,3.495839536190033,1628.031611442566,46.84411883354187,5.406437069177628,367.31019020080566,2.283409595489502,0.027448546141386,0.3902620375156402,20250619_072545i9fl_test-76ece4602c3f8201e83172c2741334e2.csv
0,0,3,7,35,16,461,507,1004,3145,945,685,15.847706422018348,31293,275.0,1.0,20.0,67.72882521152496,9.941046759486198,2.771793007850647,3.5968032479286194,4.541162550449371,1692.390859127045,44.03671026229858,15.181481838226318,354.70036268234253,1.200247287750244,0.6438514590263367,0.2278579771518707,20250619_072545i10fl_test-1d5475d389cc6906307a1e40070ae4c3.csv
